Geographic Area,"April 1, 2020 Estimates Base",2020 Population Estimate,2021 Population Estimate,2022 Population Estimate,2023 Population Estimate
,,2020,2021.0,2022.0,2023.0
United States,331464948,331526933,332048977.0,333271411.0,334914895.0
Northeast,57614141,57430477,57243423.0,57026847.0,56983517.0
Midwest,68987296,68969794,68850246.0,68783028.0,68909283.0
South,126268529,126465281,127353282.0,128702030.0,130125290.0
West,78594982,78661381,78602026.0,78759506.0,78896805.0
Alabama,5024294,5031864,5050380.0,5073903.0,5108468.0
Alaska,733374,732964,734923.0,733276.0,733406.0
Arizona,7157902,7186683,7272487.0,7365684.0,7431344.0
Arkansas,3011490,3014348,3028443.0,3046404.0,3067732.0
California,39538212,39503200,39145060.0,39040616.0,38965193.0
Colorado,5773707,5785219,5811596.0,5841039.0,5877610.0
Connecticut,3605912,3577586,3603691.0,3608706.0,3617176.0
Delaware,989946,991862,1004881.0,1019459.0,1031890.0
District of Columbia,689548,670839,669037.0,670949.0,678972.0
Florida,21538216,21591299,21830708.0,22245521.0,22610726.0
Georgia,10713771,10732390,10790385.0,10913150.0,11029227.0
Hawaii,1455274,1451181,1446745.0,1439399.0,1435138.0
Idaho,1839117,1849339,1904537.0,1938996.0,1964726.0
Illinois,12813469,12790357,12690341.0,12582515.0,12549689.0
Indiana,6785442,6789098,6813798.0,6832274.0,6862199.0
Iowa,3190427,3190904,3197944.0,3199693.0,3207004.0
Kansas,2937835,2938124,2937946.0,2936716.0,2940546.0
Kentucky,4506297,4508155,4507600.0,4511563.0,4526154.0
Louisiana,4657785,4652022,4627047.0,4588023.0,4573749.0
Maine,1363177,1364517,1378787.0,1389338.0,1395722.0
Maryland,6177253,6173689,6175045.0,6163981.0,6180253.0
Massachusetts,7032933,6997713,6991951.0,6982740.0,7001399.0
Michigan,10077674,10070627,10038117.0,10033281.0,10037261.0
Minnesota,5706804,5710578,5717968.0,5714300.0,5737915.0
Mississippi,2961306,2958409,2949582.0,2938928.0,2939690.0
Missouri,6154889,6154426,6170393.0,6177168.0,6196156.0
Montana,1084244,1087211,1106366.0,1122878.0,1132812.0
Nebraska,1961965,1963273,1964253.0,1968060.0,1978379.0
Nevada,3104617,3115840,3146632.0,3177421.0,3194176.0
New Hampshire,1377524,1378702,1387494.0,1399003.0,1402054.0
New Jersey,9289039,9272392,9269175.0,9260817.0,9290841.0
New Mexico,2117525,2118488,2116950.0,2113476.0,2114371.0
New York,20202320,20104710,19854526.0,19673200.0,19571216.0
North Carolina,10439459,10453812,10567100.0,10695965.0,10835491.0
North Dakota,779079,779563,777982.0,778912.0,783926.0
Ohio,11799331,11798292,11765227.0,11759697.0,11785935.0
Oklahoma,3959411,3965234,3991634.0,4019271.0,4053824.0
Oregon,4237279,4245044,4256465.0,4239379.0,4233358.0
Pennsylvania,13002788,12995477,13013614.0,12972091.0,12961683.0
Rhode Island,1097371,1096444,1097092.0,1093842.0,1095962.0
South Carolina,5118422,5132151,5193848.0,5282955.0,5373555.0
South Dakota,886668,887852,896299.0,909869.0,919318.0
Tennessee,6910786,6926091,6963709.0,7048976.0,7126489.0
Texas,29145459,29234361,29561286.0,30029848.0,30503301.0
Utah,3271614,3283982,3339284.0,3381236.0,3417734.0
Vermont,643077,642936,647093.0,647110.0,647464.0
Virginia,8631373,8637193,8657348.0,8679099.0,8715698.0
Washington,7705267,7724566,7741433.0,7784477.0,7812880.0
West Virginia,1793713,1791562,1785249.0,1774035.0,1770071.0
Wisconsin,5893713,5896700,5879978.0,5890543.0,5910955.0
Wyoming,576850,577664,579548.0,581629.0,584057.0
,,,,,
Puerto Rico,3285874,3281557,3262693.0,3220113.0,3205691.0
